name,id,region,county,electorate
York Central,E14001061,Yorkshire and the Humber,North Yorkshire,75351
York Outer,E14001062,Yorkshire and the Humber,North Yorkshire,78561
Belfast East,N06000001,NI, ,63157
Belfast North,N06000002,NI, ,68553
Belfast South,N06000003,NI, ,64927
Belfast West,N06000004,NI, ,62697
East Antrim,N06000005,NI, ,62811
East Londonderry,N06000006,NI, ,66926
Fermanagh and South Tyrone,N06000007,NI, ,70108
Foyle,N06000008,NI, ,70036
Lagan Valley,N06000009,NI, ,71152
Mid Ulster,N06000010,NI, ,67832
Newry and Armagh,N06000011,NI, ,77633
North Antrim,N06000012,NI, ,75876
North Down,N06000013,NI, ,64207
South Antrim,N06000014,NI, ,67425
South Down,N06000015,NI, ,75220
Strangford,N06000016,NI, ,64289
Upper Bann,N06000017,NI, ,80060
West Tyrone,N06000018,NI, ,63856
Aberdeen North,S14000001,Scotland,Scotland,67745
Aberdeen South,S14000002,Scotland,Scotland,68056
Airdrie and Shotts,S14000003,Scotland,Scotland,66792
Angus,S14000004,Scotland,Scotland,65792
Argyll and Bute,S14000005,Scotland,Scotland,68875
"Ayr, Carrick and Cumnock",S14000006,Scotland,Scotland,72995
Banff and Buchan,S14000007,Scotland,Scotland,68609
"Berwickshire, Roxburgh and Selkirk",S14000008,Scotland,Scotland,74214
"Caithness, Sutherland and Easter Ross",S14000009,Scotland,Scotland,47558
Central Ayrshire,S14000010,Scotland,Scotland,70021
"Coatbridge, Chryston and Bellshill",S14000011,Scotland,Scotland,73894
"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,Scotland,Scotland,67088
Dumfries and Galloway,S14000013,Scotland,Scotland,75249
"Dumfriesshire, Clydesdale and Tweeddale",S14000014,Scotland,Scotland,68483
Dundee East,S14000015,Scotland,Scotland,67822
Dundee West,S14000016,Scotland,Scotland,65927
Dunfermline and West Fife,S14000017,Scotland,Scotland,78037
East Dunbartonshire,S14000018,Scotland,Scotland,66966
"East Kilbride, Strathaven and Lesmahagow",S14000019,Scotland,Scotland,83205
East Lothian,S14000020,Scotland,Scotland,79481
East Renfrewshire,S14000021,Scotland,Scotland,69982
Edinburgh East,S14000022,Scotland,Scotland,67141
Edinburgh North and Leith,S14000023,Scotland,Scotland,80910
Edinburgh South,S14000024,Scotland,Scotland,65801
Edinburgh South West,S14000025,Scotland,Scotland,72149
Edinburgh West,S14000026,Scotland,Scotland,71717
Na h-Eileanan an Iar,S14000027,Scotland,Scotland,21769
Falkirk,S14000028,Scotland,Scotland,83380
Glasgow Central,S14000029,Scotland,Scotland,70945
Glasgow East,S14000030,Scotland,Scotland,70378
Glasgow North,S14000031,Scotland,Scotland,60169
Glasgow North East,S14000032,Scotland,Scotland,66678
Glasgow North West,S14000033,Scotland,Scotland,68418
Glasgow South,S14000034,Scotland,Scotland,74051
Glasgow South West,S14000035,Scotland,Scotland,66209
Glenrothes,S14000036,Scotland,Scotland,69781
Gordon,S14000037,Scotland,Scotland,79393
Inverclyde,S14000038,Scotland,Scotland,59350
"Inverness, Nairn, Badenoch and Strathspey",S14000039,Scotland,Scotland,77628
Kilmarnock and Loudoun,S14000040,Scotland,Scotland,75250
Kirkcaldy and Cowdenbeath,S14000041,Scotland,Scotland,75941
Lanark and Hamilton East,S14000042,Scotland,Scotland,79962
Linlithgow and East Falkirk,S14000043,Scotland,Scotland,86955
Livingston,S14000044,Scotland,Scotland,82373
Midlothian,S14000045,Scotland,Scotland,67875
Moray,S14000046,Scotland,Scotland,71685
Motherwell and Wishaw,S14000047,Scotland,Scotland,70283
North Ayrshire and Arran,S14000048,Scotland,Scotland,75791
North East Fife,S14000049,Scotland,Scotland,62003
Ochil and South Perthshire,S14000050,Scotland,Scotland,77370
Orkney and Shetland,S14000051,Scotland,Scotland,34552
Paisley and Renfrewshire North,S14000052,Scotland,Scotland,66206
Paisley and Renfrewshire South,S14000053,Scotland,Scotland,61281
Perth and North Perthshire,S14000054,Scotland,Scotland,72459
"Ross, Skye and Lochaber",S14000055,Scotland,Scotland,54169
Rutherglen and Hamilton West,S14000056,Scotland,Scotland,82830
Stirling,S14000057,Scotland,Scotland,67236
West Aberdeenshire and Kincardine,S14000058,Scotland,Scotland,73445
West Dunbartonshire,S14000059,Scotland,Scotland,69208
Ynys M�n,W07000041,wales,wales,49939
Delyn,W07000042,wales,wales,53639
Alyn and Deeside,W07000043,wales,wales,62016
Wrexham,W07000044,wales,wales,50992
Llanelli,W07000045,wales,wales,59314
Gower,W07000046,wales,wales,61820
Swansea West,W07000047,wales,wales,58776
Swansea East,W07000048,wales,wales,58011
Aberavon,W07000049,wales,wales,49821
Cardiff Central,W07000050,wales,wales,57456
Cardiff North,W07000051,wales,wales,67196
Rhondda,W07000052,wales,wales,51811
Torfaen,W07000053,wales,wales,61896
Monmouth,W07000054,wales,wales,62248
Newport East,W07000055,wales,wales,56015
Newport West,W07000056,wales,wales,62137
Arfon,W07000057,wales,wales,40492
Aberconwy,W07000058,wales,wales,45525
Clwyd West,W07000059,wales,wales,58644
Vale of Clwyd,W07000060,wales,wales,56505
Dwyfor Meirionnydd,W07000061,wales,wales,44394
Clwyd South,W07000062,wales,wales,54996
Montgomeryshire,W07000063,wales,wales,48690
Ceredigion,W07000064,wales,wales,54242
Preseli Pembrokeshire,W07000065,wales,wales,57291
Carmarthen West and South Pembrokeshire,W07000066,wales,wales,57755
Carmarthen East and Dinefwr,W07000067,wales,wales,55750
Brecon and Radnorshire,W07000068,wales,wales,54441
Neath,W07000069,wales,wales,56097
Cynon Valley,W07000070,wales,wales,51422
Merthyr Tydfil and Rhymney,W07000071,wales,wales,61716
Blaenau Gwent,W07000072,wales,wales,51335
Bridgend,W07000073,wales,wales,59998
Ogmore,W07000074,wales,wales,55572
Pontypridd,W07000075,wales,wales,58940
Caerphilly,W07000076,wales,wales,63603
Islwyn,W07000077,wales,wales,55697
Vale of Glamorgan,W07000078,wales,wales,72794
Cardiff West,W07000079,wales,wales,66762
Cardiff South and Penarth,W07000080,wales,wales,76006
,,,,
,,,,46354197
